72 Trần Phú, Thị trấn Đak Đoa, Huyện Đak Đoa, Tỉnh Gia Lai
129 Trần Hưng Đạo, Phường  Đoàn Kết - Thị xã Ayun Pa - Gia Lai
Thôn Plei Trang, xã Ia Piar - Huyện Phú Thiện - Gia Lai
Plei Min, xã Ia Sol - Huyện Phú Thiện - Gia Lai
Thôn Pletel A , xã Ia Sol - Huyện Phú Thiện - Gia Lai
Plei Kte Lớn, Ia Yeng - Huyện Phú Thiện - Gia Lai
Ia Zút, Ia Sol - Huyện Phú Thiện - Gia Lai
Plei Kte lớn, Iayeng - Huyện Phú Thiện - Gia Lai
TT Phú Thiện - Huyện Phú Thiện - Gia Lai
Khu Phố 6, TT Phú Thiện - Huyện Phú Thiện - Gia Lai
Khu Phố 10 - Huyện Phú Thiện - Gia Lai
Glung A xã Ia Ake - Huyện Phú Thiện - Gia Lai
xã Kim Tân - Huyện IaPa - Gia Lai
Trần Hưng Đạo - Huyện IaPa - Gia Lai
Trung tâm huyện - Huyện IaPa - Gia Lai
04 Quang Trung - Huyện IaPa - Gia Lai
04 Quang Trung - Huyện IaPa - Gia Lai
04 Quang Trung - Huyện IaPa - Gia Lai
TT huyện Ia Pa - Huyện IaPa - Gia Lai
Tỉnh lộ 662, Ia MaRơn - Huyện IaPa - Gia Lai
Khu Trung tâm huyện Ia pa - Huyện IaPa - Gia Lai
Đường 662 - Huyện IaPa - Gia Lai
04 Quang Trung, TT Ia Pa - Huyện IaPa - Gia Lai
Tỉnh Lộ 662, Kim Năng, Ia MaRơn - Huyện IaPa - Gia Lai
TT huyện Ia pa - Huyện IaPa - Gia Lai
TT huyện Ia pa - Huyện IaPa - Gia Lai
TT huyện Ia pa - Huyện IaPa - Gia Lai
TT huyện Ia Pa - Huyện IaPa - Gia Lai
Tỉnh lộ 662 - Huyện IaPa - Gia Lai
02 Trần Phú, TT huyện Ia Pa - Huyện IaPa - Gia Lai
Tỉnh lộ 662, huyện Ia Pa - Huyện IaPa - Gia Lai
Đường Quang Trung - Huyện IaPa - Gia Lai
Xã Nhơn Hoà - Huyện Chư Sê - Gia Lai
900 Phạm Văn Đồng, Phường  Yên Thế - Thành phố  Pleiku - Gia Lai
42 Nguyễn Thị Minh Khai, TT Phú Túc - Huyện Krông Pa - Gia Lai
Làng Blang II - Xã Ia Dêr - Huyện Ia Grai - Gia Lai
Thôn Lập Thành - Huyện Ia Grai - Gia Lai
Thị trấn KongChro - Huyện Kông Chro - Gia Lai
46 Phường Ia Kring - Huyện Kông Chro - Gia Lai
xã ĐăkPơPho - Huyện Kông Chro - Gia Lai
xã ĐăkKơ Ning - Huyện Kông Chro - Gia Lai
32 Lê Hồng Phong, TT Kông Chro - Huyện Kông Chro - Gia Lai
Tổ 1, TT Kông Chro - Huyện Kông Chro - Gia Lai
Đường Lê Hồng Phong, TT Kông Chro - Huyện Kông Chro - Gia Lai
Đường Nguyễn Huệ, TT Kông Chro - Huyện Kông Chro - Gia Lai
Đường Trần Hưng Đạo, TT Kông Chro - Huyện Kông Chro - Gia Lai
18 Trần Hưng Đạo - Huyện Kông Chro - Gia Lai
Đường Lê Hồng Phong, Thị Trấn Kông Chro - Huyện Kông Chro - Gia Lai
Tổ 1, Thị trấn Kông Chro - Huyện Kông Chro - Gia Lai
04/35 Tuệ Tỉnh, Phường  Ia Kring - Thành phố  Pleiku - Gia Lai
Tổ 2, Phường Trà Bá - Thành phố  Pleiku - Gia Lai
45 Hàm Nghi - Thị xã Ayun Pa - Gia Lai
01 Trần Hưng Đạo, TT Kông Chro - Huyện Kông Chro - Gia Lai
237 Nguyễn Huệ, tổ 2, TT Kông Chro - Huyện Kông Chro - Gia Lai
01 Trần Hưng Đạo, TT Kông Chro - Huyện Kông Chro - Gia Lai
237 Nguyễn Huệ, TT Kông Chro - Huyện Kông Chro - Gia Lai
17 Lê Hồng Phong, T Kông Chro - Huyện Kông Chro - Gia Lai
16 Trần Hưng Đạo, TT Kôngchro - Huyện Kông Chro - Gia Lai
07 Trần Hưng Đạo, TT Kông Chro - Huyện Kông Chro - Gia Lai
Trần Hưng Đạo, TT Kông Chro - Huyện Kông Chro - Gia Lai
34 đường Lê Lai - Thành phố  Pleiku - Gia Lai
18/2 đường Chi Lăng - Thành phố  Pleiku - Gia Lai
Tổ 6, đường Lý Chính Thắng, Phường  Chi Lăng - Thành phố  Pleiku - Gia Lai
Làng Chúk - Xã Kon Thụp - Huyện Mang Yang - Gia Lai
Thôn Tân Hiệp - Huyện ĐakPơ - Gia Lai
230 Hùng Vương - Thị trấn Chư Prông - Huyện Chư Prông - Gia Lai
315 Nguyễn Huệ, TT Kôngchro - Huyện Kông Chro - Gia Lai
12 Trần Phú - Thành phố  Pleiku - Gia Lai
185/14 Hoàng Quốc Việt - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
31 B Hùng Vương, Phường  Diên Hồng - Thành phố  Pleiku - Gia Lai
235 Lê Đại Hành, tổ 9, Phường  Đống Đa - Thành phố  Pleiku - Gia Lai
Lô 21 khu tái định cư Công ty cổ phần XDCTGT, đường Phạm Văn - Thành phố  Pleiku - Gia Lai
09 Hàn Mặc Tử - Phường Trà Bá - Thành phố  Pleiku - Gia Lai
Thôn Mỹ Thạch 2, TT Chư Sê - Huyện Chư Sê - Gia Lai
Làng Klăk - Huyện Chư Prông - Gia Lai
31 âu Cơ - Phường Thắng Lợi - Thành phố  Pleiku - Gia Lai
02 Lê Thánh Tôn, Phường  Ia Kring - Thành phố  Pleiku - Gia Lai
21 Cách Mạng Tháng Tám - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
76 Phạm Văn Đồng, tổ 7, Phường  Hoa lư - Thành phố  Pleiku - Gia Lai
58/319 hẻm Trần Phú, Phường  Diên Hồng - Thành phố  Pleiku - Gia Lai
Quốc lộ 14, tổ 3 - Thành phố  Pleiku - Gia Lai
43 Lý Nam Đế - Thành phố  Pleiku - Gia Lai
8/2 Phan Đình Phùng - Thành phố  Pleiku - Gia Lai
Đường Lý Thái Tổ, TT Kon Dỡng - Huyện Mang Yang - Gia Lai
Khu Phố 1, Thị trấn Phú Thiện - Huyện Phú Thiện - Gia Lai
thôn 2 - Huyện ĐakPơ - Gia Lai
176 HùNG VươNG, TT CHU PRôNG - Thị trấn Chư Prông - Huyện Chư Prông - Gia Lai
63 Lý Chính Thắng - Phường Chi Lăng - Thành phố  Pleiku - Gia Lai
01 Hoàng Văn Thụ - Phường Tây Sơn - Thị xã An Khê - Gia Lai
25 Hai Bà Trung Phường Tây Sơn - Thị xã An Khê - Gia Lai
37 Hoàng Hoa thám - Thị xã An Khê - Gia Lai
585 Quang Trung - Thị xã An Khê - Gia Lai
Tân Lập Song an - Thị xã An Khê - Gia Lai
Tỉnh Lộ 669 Cửu Định Cửu an - Thị xã An Khê - Gia Lai
13 Võ thị Sáu - Thị xã An Khê - Gia Lai
587 Quang Trung - Thị xã An Khê - Gia Lai
Thôn 1 Xã Thành an - Thị xã An Khê - Gia Lai
Tổ 8 Phường An Phú - Thị xã An Khê - Gia Lai
Tổ 3 Đường Trần Quốc Toản Phường An Bình - Thị xã An Khê - Gia Lai
Tổ 9, Phường  IaKring - Thành phố  Pleiku - Gia Lai
15 Trần Phú, Phường  Diên Hồng - Thành phố  Pleiku - Gia Lai
919 Phạm Văn Đồng - Thành phố  Pleiku - Gia Lai
555 Trường Chinh, Phường  Chi Lăng - Thành phố  Pleiku - Gia Lai
Lô số 14 đất Quy hoạch kinh tế cửa khẩu - Huyện Đức Cơ - Gia Lai
Khối phố 10 , TT Phú Thiện - Huyện Phú Thiện - Gia Lai
Khối phố 4 - Huyện Phú Thiện - Gia Lai
Thôn Thanh Hà, xã Ayun Hạ - Huyện Phú Thiện - Gia Lai
Thôn Tam Điệp I, Xã Ia ake - Huyện Phú Thiện - Gia Lai
78 Trần Hưng Đạo - Thị trấn KBang - Huyện Kbang - Gia Lai
Thôn 6, xã Đông - Huyện Kbang - Gia Lai
73 Đường Lê Lợi, TT KBang - Huyện Kbang - Gia Lai
74 Trần Hưng Đạo - Huyện Kbang - Gia Lai
Y Wừu, TT KBang - Huyện Kbang - Gia Lai
78 Đường Trần Hưng Đạo, TT KBang - Huyện Kbang - Gia Lai
Làng Nú, Xã IaNan - Huyện Đức Cơ - Gia Lai
136 Ngô Quyền Khu quy hoạch đô thị Trà Đa - Xã Trà Đa - Thành phố  Pleiku - Gia Lai
32 Hoàng Văn Thụ - Thành phố  Pleiku - Gia Lai
203 Hùng Vương, TP Pleiku - Thành phố  Pleiku - Gia Lai
69 Tôn Thất Tùng., tổ 12, Phường  Trà Bá - Thành phố  Pleiku - Gia Lai
801 B Lê Duẩn - Xã Chư á - Thành phố  Pleiku - Gia Lai
Tổ dân phố 6, TT Phú Túc - Huyện Krông Pa - Gia Lai
261 Lê Thánh Tôn, Phường  Hội Phú - Thành phố  Pleiku - Gia Lai
Thôn Ia Mút, xã Ia Dom - Huyện Đức Cơ - Gia Lai
04 Trần Phú, Phường  Tây Sơn - Thành phố  Pleiku - Gia Lai
100 A Lê Duẩn, Tp Phường leiku - Thành phố  Pleiku - Gia Lai
01 C  Nguyễn Viết Xuân, Phường  Hội Phú - Thành phố  Pleiku - Gia Lai
480 Hùng Vương, Phường  Hội Phú - Thành phố  Pleiku - Gia Lai
Tổ 7 - Phường Hội Phú - Thành phố  Pleiku - Gia Lai
260 Đường Phù Đổng - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
01 Lê Chân, tổ 20 - Thành phố  Pleiku - Gia Lai
15A Nguyễn Bá Ngọc - Thành phố  Pleiku - Gia Lai
38 B Hùng Vương - Thành phố  Pleiku - Gia Lai
Tầng 3, tòa nhà Đức Long � 120 Trần Phú - Thành phố  Pleiku - Gia Lai
Thôn Ia Rốc, xã Chư HDrông - Thành phố  Pleiku - Gia Lai
178 Lê Duẫn, Phường  Trà Bá - Thành phố  Pleiku - Gia Lai
Hẻm Ngô Gia khảm, tổ 4, Phường  Trà bá - Thành phố  Pleiku - Gia Lai
Tổ 9, Trần Hưng Đạo, TT Kon Dỡng - Huyện Mang Yang - Gia Lai
Làng Lân, xã Ia O - Huyện Ia Grai - Gia Lai
Thôn Cầu Vàng - Xã K- Dang - Huyện Đak Đoa - Gia Lai
04 Hoàng Quốc Việt - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
Làng Lê Ngó, xã Ia Pia - Huyện Chư Prông - Gia Lai
29 Nguyễn Trỗi, Khu Phố 2 - Huyện Krông Pa - Gia Lai
Đường Trần Phú, TT Phú Hoà - Huyện Chư Păh - Gia Lai
Đường Hùng Vương, TT Phú Hoà - Huyện Chư Păh - Gia Lai
Đường Hùng Vương, TT Phú Hoà - Huyện Chư Păh - Gia Lai
52, đường Trần Nhân Tông - Thành phố  Pleiku - Gia Lai
Thị trấn Phú Hoà - Huyện Chư Păh - Gia Lai
Đường Trần Phú, TT Phú Hoà - Huyện Chư Păh - Gia Lai
186 Quang Trung - Thị xã An Khê - Gia Lai
Đường Hùng Vương, TT Phú Hoà - Huyện Chư Păh - Gia Lai
Quốc lộ 14, tổ 1 - Thành phố  Pleiku - Gia Lai
Thôn 2, xã Ayun - Huyện Mang Yang - Gia Lai
Đường Hùng Vương, TT Phú Hoà - Huyện Chư Păh - Gia Lai
Đường Hùng Vương, TT Phú Hoà - Huyện Chư Păh - Gia Lai
18 Phan Đình Giót - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
Xã Ia Peng - Huyện Phú Thiện - Gia Lai
Thôn PleiBai, xã Ia Piar - Huyện Phú Thiện - Gia Lai
Khu Phố 8 - Huyện Phú Thiện - Gia Lai
Xã Chrôh Pơnan - Huyện Phú Thiện - Gia Lai
Thị Trấn Phú Hoà - Huyện Chư Păh - Gia Lai
01 A Phạm văn Đồng, TP Pleiku - Thành phố  Pleiku - Gia Lai
Thị trấn Phú Hoà - Huyện Chư Păh - Gia Lai
Đường Trần Phú, TT Phú Hoà - Huyện Chư Păh - Gia Lai
Đường Trần Phú, TT Phú Hoà - Huyện Chư Păh - Gia Lai
Đường Trần Phú - Huyện Chư Păh - Gia Lai
Đường Lý Thường Kiệt - Huyện Chư Păh - Gia Lai
Đường Trần Phú, TT Phú Hoà - Huyện Chư Păh - Gia Lai
Đường Hùng Vương, TT Phú Hoà - Huyện Chư Păh - Gia Lai
Đường Nguyễn Thị Minh Khai, TT Phú Hoà - Huyện Chư Păh - Gia Lai
585 Quang Trung, thị xã An Khê - Thị xã An Khê - Gia Lai
Số 9 đường Quyết Tiến - Phường Ia Kring - Thành phố  Pleiku - Gia Lai
24/01 Lê Lợi, tổ 02 - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
24 B Trần Phú, Phường  Diên Hồng - Thành phố  Pleiku - Gia Lai
Khu phố 10, Thị trấn Phú Thiện - Huyện Phú Thiện - Gia Lai
74 Nguyễn Du - Huyện Kbang - Gia Lai
07 đường Wừu - Thị trấn Đăk Đoa - Huyện Đak Đoa - Gia Lai
thôn 6 - Xã Nghĩa Hưng - Huyện Chư Păh - Gia Lai
Thôn 17, xã Bờ Ngoong - Huyện Chư Sê - Gia Lai
39 Lý Thường Kiệt - Phường Thắng Lợi - Thành phố  Pleiku - Gia Lai
Tổ 12, Phường  Yên Đỗ, TP.Pleiku - Thành phố  Pleiku - Gia Lai
43 Lý Nam Đế - Thành phố  Pleiku - Gia Lai
Quốc lộ 14 - Xã Chư HDrông - Thành phố  Pleiku - Gia Lai
Thôn Cửa Khẩu - Huyện Đức Cơ - Gia Lai
Số nhà 117/08 đường Phan Đình Phùng, tổ 12 - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
189 Lê Thánh Tôn, tổ 9, Phường  Ia Kring - Thành phố  Pleiku - Gia Lai
Xã  IaKDăm - Huyện IaPa - Gia Lai
Số 249 Hùng Vương, Thị trấn Chưprông - Huyện Chư Prông - Gia Lai
Thị trấn Phú Thiện - Huyện Phú Thiện - Gia Lai
Thôn 2, Xã Đak Pơ - Huyện ĐakPơ - Gia Lai
18 Lý Tự Trọng , Phường  Tây Sơn - Thành phố  Pleiku - Gia Lai
14 Nguyễn Trãi, Phường  Yên Đỗ - Thành phố  Pleiku - Gia Lai
133 A Phạm Văn Đồng, Phường  Tây Sơn, TP Pleiku - Thành phố  Pleiku - Gia Lai
Quốc lộ 19 đường Lê Duẩn, thôn 6 - Xã An Phú - Thành phố  Pleiku - Gia Lai
Thôn 2, Xã ĐakPơ, Huyện ĐakPơ - Huyện ĐakPơ - Gia Lai
73 Lê Lai, thị trấn Kông Chro, huyện  Kông Chro - Huyện Kông Chro - Gia Lai
160 Nguyễn Huệ, Thị trấn Kông Chro - Huyện Kông Chro - Gia Lai
Đường Lê Hồng Phong, Thị trấn Kông Chro - Huyện Kông Chro - Gia Lai
02 Hai Bà Trưng, Tp.Pleiku - Thành phố  Pleiku - Gia Lai
Tổ 06,  hẻm Lê Thánh Tôn - Thành phố  Pleiku - Gia Lai
156 Nguyễn Viết Xuân, Phường  Hội Phú, TP Pleiku - Thành phố  Pleiku - Gia Lai
CHợ TT - Thị trấn Chư Prông - Huyện Chư Prông - Gia Lai
24 Trần Phú - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
54 Hai Bà Trưng, Phường  Tây Sơn, Tp. Pleiku - Thành phố  Pleiku - Gia Lai
Thôn 3, Xã Tân Bình, TT Đăk Đoa - Huyện Đak Đoa - Gia Lai
Thôn 9 - Xã Nghĩa Hưng - Huyện Chư Păh - Gia Lai
Thôn Mỹ Thạch 3 - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
07 Hoàng Văn Thụ - Thành phố  Pleiku - Gia Lai
73 Lê Lợi, Thị trấn KBang - Huyện Kbang - Gia Lai
158 Đường Wừu, tổ dân phố 19, thị trấn KBang - Huyện Kbang - Gia Lai
74 Trần Hưng Đạo, Thị trấn KBang - Huyện Kbang - Gia Lai
54 Phan Đình Phùng, tổ 11, Phường  Tây Sơn - Thành phố  Pleiku - Gia Lai
02 Hai Bà Trưng - Thành phố  Pleiku - Gia Lai
02 Hai Bà Trưng - Thành phố  Pleiku - Gia Lai
15 Trường Chinh - Thành phố  Pleiku - Gia Lai
253 Hùng Vương, TP. Pleiku - Thành phố  Pleiku - Gia Lai
322 Trường Chinh, Phường Trà Bá - Thành phố  Pleiku - Gia Lai
30 Phạm Hồng Thái - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
18 B Đường Wừu, Phường  Ia Kring - Thành phố  Pleiku - Gia Lai
thôn 3 - Xã Diên Phú - Thành phố  Pleiku - Gia Lai
74 Mạc Đỉnh Chi - Thành phố  Pleiku - Gia Lai
07 Nơ Trang Long, Phường  Trà bá, Tp.Pleiku - Thành phố  Pleiku - Gia Lai
230 Lê Duẩn, TP. Pleiku - Thành phố  Pleiku - Gia Lai
Tổ 2, Phường  Chi Lăng - Thành phố  Pleiku - Gia Lai
Thôn Kế Tân, Xã Ia Sol, huyện Phú Thiện - Huyện Phú Thiện - Gia Lai
430 Quang Trung - Phường An Phú - Thị xã An Khê - Gia Lai
490 Phạm Văn Đồng, tổ 8, Phường  Thống Nhất - Thành phố  Pleiku - Gia Lai
26 Sư Vạn Hạnh - Phường Hội Thương - Thành phố  Pleiku - Gia Lai
07 Hai Bà Trưng, Tp Pleiku - Thành phố  Pleiku - Gia Lai
58 Lê Thánh Tôn, Tp. Pleiku - Thành phố  Pleiku - Gia Lai
5 B Phan Đình Phùng, Phường  Tây Sơn, TP Pleiku - Thành phố  Pleiku - Gia Lai
Tổ 3, đường Hùng Vương, Thị trấn Phú Hoà - Huyện Chư Păh - Gia Lai
86 Nguyễn Nhạc, tổ 14 - Phường An Phú - Thị xã An Khê - Gia Lai
16/23/198 hẻm Cách Mạng Tháng 8, tổ 8, Phường  Hoa Lư - Thành phố  Pleiku - Gia Lai
Phường Chi  Lăng - Thành phố  Pleiku - Gia Lai
Thôn Chuét I, xã Chư á - Thành phố  Pleiku - Gia Lai
Thôn Tốt Tâu, xã Ia Tiêm - Huyện Chư Sê - Gia Lai
248 Trần Phú, Phường  Diên Hồng - Thành phố  Pleiku - Gia Lai
Phạm văn Đồng, TP Pleiku - Thành phố  Pleiku - Gia Lai
972 Lê Duẩn - Thành phố  Pleiku - Gia Lai
Tổ dân phố 1, TT Chư Sê - Huyện Chư Sê - Gia Lai
12 Lê Hồng Phong, Thị trấn Phú Túc - Huyện Krông Pa - Gia Lai
09 Lương Thạnh - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
Phòng 7, tầng 11, Khách sạn Hoàng Anh Gia Lai số 01 Phù Đổng - Thành phố  Pleiku - Gia Lai
Khu dân cư cánh đồng Iachor, xã Iader - Huyện Ia Grai - Gia Lai
332 Quang Trung, Thị Trấn Chư Ty - Huyện Đức Cơ - Gia Lai
106 Lê Lợi - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
01 Hai Bà Trưng - Thành phố  Pleiku - Gia Lai
Tầng 5, Hội sở Công ty CP Đông Hưng Gia Lai, 216 Lê Đại Hành - Thành phố  Pleiku - Gia Lai
Thôn Châu Kê - Xã Đăk Yă - Huyện Mang Yang - Gia Lai
Thôn 9, Xã Nghĩa Hưng - Huyện Chư Păh - Gia Lai
Tổ dân phố 6, TT Chư Sê - Huyện Chư Sê - Gia Lai
396 Hùng Vương - Huyện Chư Sê - Gia Lai
19 Tăng Bạt Hổ - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
71 Hai Bà Trưng, Phường  Diên Hồng - Thành phố  Pleiku - Gia Lai
24 Quang Trung - Thành phố  Pleiku - Gia Lai
144 Hùng Vương - Thành phố  Pleiku - Gia Lai
Tổ 1, Phường  Chi Lăng - Thành phố  Pleiku - Gia Lai
289 Trương Chinh, Phường  Trà Bá - Thành phố  Pleiku - Gia Lai
Thôn Tân Phú - Huyện Mang Yang - Gia Lai
Khối phố 2, TT Phú Túc - Thị trấn Phú Túc - Huyện Krông Pa - Gia Lai
Thôn Ia Lok - Xã Ia Mơ Nông - Huyện Chư Păh - Gia Lai
194 Lý Thái Tổ - Thành phố  Pleiku - Gia Lai
09 Hai bà Trưng - Thành phố  Pleiku - Gia Lai
356 Lê Đại Hành - Phường Yên Thế - Thành phố  Pleiku - Gia Lai
42/381 Lê Lợi , Phường  Hội Thương - Thành phố  Pleiku - Gia Lai
Tổ 2, Phường  Trà Bá - Thành phố  Pleiku - Gia Lai
Thôn 2, xã An Phú - Thành phố  Pleiku - Gia Lai
Thôn 2, xã Tân Bình - Huyện Đak Đoa - Gia Lai
104 Lê Lợi, Phường  Hoa Lư - Thành phố  Pleiku - Gia Lai
Đường Trần Nhật Duật, thôn 4 - Xã Diên Phú - Thành phố  Pleiku - Gia Lai
173 Lý Thái Tổ, Phường  Diên Hồng - Thành phố  Pleiku - Gia Lai
114 Lê Duẩn, Tp.Pleiku - Thành phố  Pleiku - Gia Lai
335 Lê Thánh Tôn, tổ 15 - Phường Hội Phú - Thành phố  Pleiku - Gia Lai
15 Cao Thắng - Thành phố  Pleiku - Gia Lai
Thôn Ia Roch, xã Ia Kênh - Thành phố  Pleiku - Gia Lai
Thôn Ia Ly, xã Ia Ly - Huyện Chư Păh - Gia Lai
23 Lê Duẩn, Phường  Phù Đổng - Thành phố  Pleiku - Gia Lai
Thôn 1, Xã Diên Phú - Thành phố  Pleiku - Gia Lai
Thôn Tân Tiến, xã Trang - Huyện Đak Đoa - Gia Lai
45 Nguyễn Tất Thành - Phường Hoa Lư - Thành phố  Pleiku - Gia Lai
523 A Cách mạng Thnág 8, tổ 9, Phường  Hoa Lư - Thành phố  Pleiku - Gia Lai
65 Hai Bà Trưng - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
Thị Tứ - Xã Ia KRai - Huyện Ia Grai - Gia Lai
76/1 Phan Đình Phùng - Thành phố  Pleiku - Gia Lai
43 Lý nam Đế, Phường  Trà Bá - Thành phố  Pleiku - Gia Lai
Thôn Quỳnh 3 - Xã Chư RCăm - Huyện Krông Pa - Gia Lai
947 đường Hùng Vương, tổ 12 - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
153 Lê Duẩn - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
Thôn Chư Hậu 5 - Xã Ia Yok - Huyện Ia Grai - Gia Lai
63 Lê Thánh Tôn, tổ 5, Phường  Ia Kring - Thành phố  Pleiku - Gia Lai
thôn Glung B - Xã Ia Ke - Huyện Phú Thiện - Gia Lai
Tổ 12, Phường  Hoa Lư - Thành phố  Pleiku - Gia Lai
523 Cách Mạng Tháng 8, Phường  Hoa Lư - Thành phố  Pleiku - Gia Lai
Tổ 8 - Thành phố  Pleiku - Gia Lai
706 Lê Duẫn, Xã Chư á - Thành phố  Pleiku - Gia Lai
Thôn 1 - Xã Ia Blang - Huyện Chư Sê - Gia Lai
Thôn An Định, xã Cửu An - Thị xã An Khê - Gia Lai
Thôn 06, xã Ia Piơr - Huyện Chư Prông - Gia Lai
Xã IaO - Huyện Ia Grai - Gia Lai
02 Hoàng Hoa Thám - Thành phố  Pleiku - Gia Lai
202 Phan Đình Phùng - Thành phố  Pleiku - Gia Lai
Thôn Châu Sơn - Xã Đăk Yă - Huyện Mang Yang - Gia Lai
Tổ 6, TT Kon Tầng - Huyện Mang Yang - Gia Lai
Thôn Hồ nước, TT Chư Sê - Huyện Chư Sê - Gia Lai
40 Hai Bà Trưng - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
05 Nguyễn Đức Cảnh, Tổ 4, Phường  Hoa Lư - Thành phố  Pleiku - Gia Lai
388 Nguyễn Viết Xuân, Hội Phú - Thành phố  Pleiku - Gia Lai
377 A Lê Duẩn, Phường  Chi Lăng - Thành phố  Pleiku - Gia Lai
Thôn Đoàn Kết, xã Ia Boòng - Huyện Chư Prông - Gia Lai
02 Lê Lai, Phường  Tây Sơn - Thành phố  Pleiku - Gia Lai
47 Nguyễn Du - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
7/33  Phù Đổng, Phường  Hội phú - Thành phố  Pleiku - Gia Lai
Số  08 Nguyễn Trường Tộ, tổ 02 - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
193 Đường Wừu - Thành phố  Pleiku - Gia Lai
Thôn Bầu Zút - Thị trấn Chư Sê - Huyện Chư Sê - Gia Lai
Thôn 9 - Xã Nghĩa Hưng - Huyện Chư Păh - Gia Lai
Thôn Thanh Bình, Thị tấn Chư Sê - Huyện Chư Sê - Gia Lai
48 Trần Phú - Phường Diên Hồng - Thành phố  Pleiku - Gia Lai
Thôn 4 - Xã Ia Tô - Huyện Ia Grai - Gia Lai
QLộ 25, xã H'Bông - Huyện Chư Sê - Gia Lai
101 Lê Đại Hành, Phường  Thống Nhất - Thành phố  Pleiku - Gia Lai
Tầng 3 cao ốc văn phòng Hoàng Anh Gia Lai, 15 Trường Chinh - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
52 Phù Đổng - Phường Phù Đổng - Thành phố  Pleiku - Gia Lai
Khối phố 3 - Huyện Chư Păh - Gia Lai
361 Hai Bà Trưng, Phường  Diên Hồng - Thành phố  Pleiku - Gia Lai
Quốc lộ 19 - Đường Lê Duẫn - Thành phố  Pleiku - Gia Lai
Quốc lộ 25, thôn Ia Jút - Xã Ia Sol - Huyện Phú Thiện - Gia Lai
Thôn 5, Trần Hưng Đạo - Huyện Chư Sê - Gia Lai
09 Nguyễn Huệ, tổ 1, thị trấn Kong Chro - Huyện Kông Chro - Gia Lai
636 Quang Trung - Phường Tây Sơn - Thị xã An Khê - Gia Lai
168 Quang Trung - Phường An Phú - Thị xã An Khê - Gia Lai
193 A  Lê Thánh Tôn - Thành phố  Pleiku - Gia Lai
235 Hùng Vương, Khối phố 8 - Huyện Krông Pa - Gia Lai
Làng Khôi - Xã Ia Ga - Huyện Chư Prông - Gia Lai
Lô A11, Khu Công nghiệp Trà Đa - Thành phố  Pleiku - Gia Lai
17 Trần Hưng Đạo - Thành phố  Pleiku - Gia Lai
122 Lý Thái tổ - Thành phố  Pleiku - Gia Lai
Tổ dân phố 4, TT ĐăkĐoa - Huyện Đak Đoa - Gia Lai
Thôn 9 - Xã Nghĩa Hưng - Huyện Chư Păh - Gia Lai
Làng Roh, xã Lơ Pang - Huyện Mang Yang - Gia Lai
47 Trần Phú (mở rộng) - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
287 Phạm Văn Đồng - Thành phố  Pleiku - Gia Lai
Thôn 19 - Xã Ia Tiêm - Huyện Chư Sê - Gia Lai
135 Trần Phú (nối dài) - Phường Tây Sơn - Thành phố  Pleiku - Gia Lai
32 Nguyễn Đức Cảnh, Phường  Hoa Lư - Thành phố  Pleiku - Gia Lai
Quốc lộ 14, Thôn 7, xã Ia Blang - Huyện Chư Sê - Gia Lai
81 Thống Nhất - Phường Ia Kring - Thành phố  Pleiku - Gia Lai
38 Tăng Bạt Hổ - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
Tầng 11, Khách sạn Hoàng Anh, 01 Phù Đổng - Thành phố  Pleiku - Gia Lai
20/9 Phạm Văn Đồng, tổ 1, Hoa Lư - Thành phố  Pleiku - Gia Lai
Dốc Đỏ - Xã Phú Cần - Huyện Krông Pa - Gia Lai
Làng Chiếc 2, Phường  Thắng Lợi - Thành phố  Pleiku - Gia Lai
171 Phan Đình Phùng - Phường Yên Đỗ - Thành phố  Pleiku - Gia Lai
138 Ngô Gia Khảm - Phường Trà Bá - Thành phố  Pleiku - Gia Lai
Km 133, Ql 25, Thôn Sôma Lương A, Chrroh Pơ nan - Huyện Phú Thiện - Gia Lai
Tổ dân phố 9 - Thị trấn KBang - Huyện Kbang - Gia Lai
Thôn Nhơn Tân - Xã Tân An - Huyện ĐakPơ - Gia Lai
